Timestamp, Acceleration x, Acceleration y, Acceleration z
9760,-0.105957,-0.947266,0.520508,
9780,-0.074707,-0.939941,0.543945,
9800,-0.0566406,-0.978516,0.560547,
9820,-0.065918,-0.950684,0.541504,
9840,-0.0708008,-0.925293,0.491699,
9860,-0.0473633,-0.90918,0.513184,
9870,-0.0424805,-0.924316,0.536621,
9890,-0.019043,-0.937012,0.543457,
9910,0.00439453,-0.890625,0.529297,
9930,0.015625,-0.858887,0.504395,
9950,0.00341797,-0.828613,0.540527,
9970,0.0219727,-0.816406,0.515137,
9990,0.0214844,-0.795898,0.463379,
10010,0.0273438,-0.78418,0.464355,
10030,0.0883789,-0.766602,0.468262,
10050,0.112305,-0.739258,0.509277,
10070,0.0878906,-0.720703,0.462402,
10090,0.0981445,-0.685059,0.414063,
10110,0.0927734,-0.650391,0.343262,
10130,0.109863,-0.651855,0.363281,
10150,0.161133,-0.698242,0.416016,
10170,0.172852,-0.660645,0.374512,
10190,0.197754,-0.641113,0.379883,
10210,0.18457,-0.6875,0.38916,
10230,0.225098,-0.754883,0.376953,
10250,0.254395,-0.746094,0.443848,
10270,0.247559,-0.709473,0.458496,
10290,0.241699,-0.705566,0.467773,
10310,0.222656,-0.683594,0.400391,
10330,0.181641,-0.726074,0.353027,
10350,0.148438,-0.740234,0.250488,
10370,0.17627,-0.751953,0.303711,
10390,0.186035,-0.728027,0.38623,
10410,0.148926,-0.725586,0.398438,
10430,0.148926,-0.816895,0.362793,
10450,0.128906,-0.829102,0.379883,
10470,0.105957,-0.83252,0.362305,
10490,0.110352,-0.883789,0.444824,
10510,0.101074,-0.863281,0.468262,
10530,0.0668945,-0.901855,0.395508,
10550,0.0229492,-0.941406,0.391602,
10570,0.0371094,-0.952637,0.472168,
10590,0.0332031,-0.946289,0.502441,
10610,0.0151367,-0.939453,0.467773,
10630,-0.0214844,-0.949219,0.384766,
10650,-0.0229492,-0.937012,0.424805,
10670,0.00585938,-0.943359,0.427734,
10690,-0.00683594,-0.953613,0.449219,
10710,-0.0273438,-0.937988,0.427734,
10730,-0.00683594,-0.949707,0.469238,
10750,-0.0263672,-0.949707,0.466797,
10770,-0.0175781,-0.945801,0.422363,
10790,-0.0561523,-0.944824,0.384766,
10810,-0.0864258,-0.946289,0.399902,
10830,-0.108398,-0.967773,0.462402,
10850,-0.108398,-0.951172,0.472656,
10870,-0.122559,-0.940918,0.466797,
10890,-0.125,-0.937012,0.492676,
10910,-0.106934,-0.963379,0.492188,
10930,-0.116699,-0.953125,0.483887,
10950,-0.121094,-0.93457,0.473145,
10970,-0.130859,-0.945313,0.514648,
10990,-0.13623,-0.929199,0.535156,
11010,-0.136719,-0.900879,0.544922,
11030,-0.15625,-0.893555,0.5,
11050,-0.111328,-0.885742,0.526855,
11070,-0.065918,-0.90332,0.623047,
11090,-0.102539,-0.913574,0.544922,
11110,-0.104004,-0.86084,0.506836,
11130,-0.0629883,-0.832031,0.53125,
11150,-0.00439453,-0.817871,0.594727,
11170,-0.019043,-0.849609,0.650391,
11190,-0.00195313,-0.855469,0.578613,
11210,0.00537109,-0.766602,0.502441,
11230,0.0170898,-0.746582,0.522949,
11250,0.019043,-0.793457,0.506836,
11270,0.0493164,-0.796387,0.492188,
11290,0.0634766,-0.708496,0.486328,
11310,0.0849609,-0.709473,0.483398,
11330,0.0981445,-0.715332,0.445313,
11350,0.116211,-0.710938,0.408203,
11370,0.126465,-0.704102,0.379395,
11390,0.159668,-0.654297,0.378906,
11410,0.175781,-0.680664,0.35791,
