Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8
2230,0,0,5,-8,-1,-3,1,1,
2235,-1,0,-26,-1,-3,3,0,-3,
2240,-2,1,1,0,1,-2,-2,-3,
2245,-1,-3,14,-2,-1,1,0,-3,
2250,-2,-2,4,4,1,-4,-5,0,
2255,1,-1,-9,-5,-2,0,-1,-1,
2260,-1,-2,-23,-7,-4,-3,-2,1,
2265,0,-1,1,4,2,1,0,1,
2270,0,1,16,-5,-6,-1,-2,1,
2275,0,0,-2,1,1,-1,-1,-3,
2280,0,2,17,21,6,3,0,-3,
2285,-1,-1,2,-8,-6,-1,-4,0,
2290,1,-3,-5,-4,-4,-4,-1,-1,
2295,-1,-2,-5,-8,-4,-3,0,-1,
2300,-2,3,38,19,5,4,0,0,
2305,-3,0,-11,-1,-2,-3,-1,-2,
2310,-1,-3,-4,-4,2,1,3,-5,
2315,0,0,4,6,-2,-1,-2,1,
2320,-2,-5,-4,-11,-8,-5,-3,-3,
2325,0,-2,0,-5,-2,2,1,0,
2330,1,2,-1,3,1,0,0,-1,
2335,-1,2,24,6,7,2,1,0,
2340,-5,-3,-23,-8,-3,-4,-4,-3,
2345,-4,0,-2,1,-2,-2,-1,-2,
2350,-2,-3,-9,-2,-3,0,-1,-1,
2355,-2,3,1,6,1,0,-1,0,
2360,-1,-3,-10,-18,-4,1,2,0,
2365,-2,-2,-2,8,1,0,-2,-2,
2370,4,-3,4,0,-3,-5,-3,-5,
2375,-1,-3,0,-7,-6,-2,-2,0,
2380,-3,-2,-1,3,2,-1,0,-1,
2385,-1,-3,-6,-5,-3,-2,0,0,
2390,0,5,26,3,3,3,-5,2,
2395,-2,-3,-6,5,5,3,0,0,
2400,0,0,-5,-6,-3,-4,0,-1,
2405,-1,-2,-4,-5,-10,-7,-6,-2,
2410,-2,-3,-5,-4,-1,-1,2,1,
2415,-1,0,-6,-2,-1,0,-2,-3,
2420,0,-3,7,-7,-2,2,0,-1,
2425,1,6,30,9,9,4,1,-1,
2430,-2,-1,-11,10,1,-4,-2,-1,
2435,-4,1,3,-18,-6,-5,-2,-1,
2440,-1,-5,-19,-3,-2,-2,-1,-3,
2445,0,-2,2,0,5,1,-2,-1,
2450,1,3,-3,3,-1,1,3,1,
2455,-2,-3,1,3,3,3,2,-3,
2460,-3,1,-1,-1,-1,-1,-5,-2,
2465,-2,-2,-10,3,-3,-1,-2,-1,
2470,-3,-2,-6,-10,-4,-2,0,-2,
2475,-2,1,-12,-2,1,-2,-2,-1,
2480,1,0,7,-1,1,-1,-2,1,
2485,1,-3,4,5,1,0,-1,0,
2490,-2,-5,-13,-11,-6,-2,-4,-3,
2495,-1,-2,13,25,1,-1,2,0,
2500,-1,-1,4,-16,-5,-3,0,-4,
2505,0,-3,-12,-3,-2,0,2,1,
2510,1,0,3,-2,3,-1,-3,-2,
2515,1,-3,-1,-9,-9,-6,0,-1,
2520,-3,0,5,17,4,4,-1,0,
2525,1,-4,-8,-3,-3,-2,0,1,
2530,-1,3,7,1,-1,2,0,-3,
2535,-1,-1,-1,2,4,0,-1,-2,
2540,-1,-1,-7,-3,-3,-1,-1,0,
2545,-3,-1,-6,-3,-4,-3,-1,-1,
2550,-2,0,3,8,7,-1,-2,3,
2555,-1,3,12,-7,2,3,-3,-2,
2560,-2,-4,-9,-2,-2,-1,0,0,
2565,1,-4,-17,-7,-6,-5,-3,-1,
2570,-1,-1,-10,-4,-4,0,0,-2,
2575,-2,3,62,8,-1,0,1,-2,
2580,2,1,-36,11,9,7,2,1,
2585,1,0,-12,-3,2,-1,-2,-3,
2590,-2,-5,-9,-11,-5,-8,-1,-2,
2595,1,0,-20,-6,-3,-2,0,4,
2600,-1,-2,12,-6,-12,-2,1,-2,
2605,1,0,18,3,3,2,1,0,
2610,2,-4,-25,6,4,2,-1,1,
2615,-2,0,-4,-3,-2,-4,-2,-2,
2620,-2,-1,9,-2,-1,-1,-2,1,
2625,-2,0,-10,-5,0,0,-3,-5,
2630,-2,1,12,6,-4,-4,-1,-2,
2635,0,-2,-17,-1,3,4,-1,-3,
2640,0,1,19,0,-4,-2,-2,-2,
2645,0,1,-8,2,0,-3,-3,-1,
2650,-1,1,11,-1,2,0,0,1,
2655,0,-4,-27,-5,-5,-1,5,-2,
2660,-2,-2,-15,-3,4,1,0,-3,
2665,-2,-1,34,-4,-3,-4,0,2,
2670,0,-1,-9,-1,-1,1,-1,-3,
2675,-5,-7,-8,-11,-5,-3,-1,-1,
2680,0,0,-13,8,2,-1,0,-2,
2685,-1,0,5,0,-1,1,0,0,
2690,-2,-1,-12,-2,1,2,1,-1,
2695,-1,1,40,-5,-3,-3,-1,1,
2700,-2,-3,-11,-8,-6,-6,-3,-1,
2705,-1,-1,-17,3,1,1,-1,-1,
2710,0,3,36,6,2,3,-1,-1,
2715,-3,-4,-13,10,4,-1,-1,-4,
2720,-1,2,8,-17,-7,-5,-3,-4,
2725,0,1,18,0,-2,2,-1,1,
2730,0,-4,-13,-3,-5,-4,-1,-1,
2735,1,-3,-18,0,-2,1,-1,1,
2740,-2,-2,0,9,4,3,1,2,
2745,-2,-2,4,-3,4,-6,-1,-7,
2750,-2,-3,2,-6,-2,2,-1,0,
2755,-2,-3,2,2,-4,-2,-2,-1,
2760,1,-4,-9,-8,-2,1,0,0,
2765,0,-2,-14,-5,-2,-1,-3,-1,
2770,0,-2,5,6,5,-2,1,-1,
2775,-4,-4,-17,-1,-1,-5,-5,0,
2780,-3,-6,24,-11,-4,-2,-3,-1,
2785,-2,-3,-54,-9,-1,0,0,-1,
2790,4,12,72,38,8,4,1,0,
2795,-1,-4,-36,-11,1,3,0,0,
2800,0,3,5,-19,-4,-10,-2,-3,
