Timestamp, Rotation x, Rotation y, Rotation z
12290,8.9375,-7.9375,-61.25,
12310,10.5,-14.875,-59,
12330,10.9375,-20.6875,-57.625,
12350,12.5,-26.4375,-56.1875,
12370,19,-33.4375,-52.875,
12390,26.5625,-38.875,-48.875,
12410,22.875,-45.875,-45.1875,
12430,23.8125,-46.9375,-45.0625,
12450,29.9375,-50.9375,-40.1875,
12470,34.125,-52.25,-32.75,
12490,28.25,-55.4375,-23.8125,
12510,26,-58.3125,-15.625,
12530,27.375,-58.4375,-10.25,
12550,29.25,-58.5,-4.3125,
12570,21.5,-59.8125,3.625,
12590,14.4375,-60.25,10.0625,
12610,14.1875,-60.4375,16.75,
12630,22,-54.375,21.9375,
12650,24.75,-47.3125,32.0625,
12670,20.4375,-44.9375,43.125,
12690,18.875,-38.25,51.8125,
12710,18.5625,-28.4375,59.0625,
12730,22.8125,-23.5625,67.25,
12750,11.4375,-18.6875,73.8125,
12770,3.375,-10.1875,76.5,
12790,4,-3.8125,79.5625,
12810,0.875,2.5625,81.75,
12830,-13.375,13.125,82.3125,
12850,-14.1875,16.6875,81,
12870,-14.1875,17.625,75.9375,
12890,-11.5625,23.6875,71.75,
12910,-17.8125,25.6875,67.0625,
12930,-22.5625,30.125,56.1875,
12950,-22.625,31.6875,45.6875,
12970,-18.625,33,36,
12990,-11.875,38.125,26.4375,
13010,-7.875,42.4375,16.5,
13030,-9.125,43.8125,10.0625,
13050,-11.1875,44.8125,5.1875,
13070,-12.25,50.375,-0.9375,
13090,-11.0625,53.6875,-2.0625,
13110,-10.625,57.75,-6.9375,
13130,-9.4375,59.5625,-12.1875,
13150,-6.8125,62.25,-16.6875,
13170,-7.25,59.0625,-21.125,
13190,-8.125,56.3125,-26.6875,
13200,-10.0625,51.625,-29.9375,
13220,-6.5625,47.625,-37.8125,
13240,-10.4375,40.1875,-41.6875,
13260,-12.8125,32.0625,-47.9375,
13280,-15.5625,24.25,-52.4375,
13300,-13.625,19.875,-58.5625,
13320,-2.25,13.5625,-58.75,
13340,1.25,5.75,-63,
13360,5.4375,-2.125,-67.6875,
13380,14.6875,-7.0625,-67.8125,
13400,24.1875,-10.375,-67.9375,
13420,25.125,-19,-62.6875,
13440,30.3125,-21.125,-62.875,
13460,36,-25.4375,-58.8125,
13480,43.9375,-27.8125,-53.9375,
13500,40.0625,-30.4375,-47.0625,
13520,39.5625,-33.875,-41.875,
13540,43.875,-39.1875,-35.875,
13560,50.75,-41.3125,-31.125,
13580,43.625,-43.0625,-22.125,
13600,30.5625,-47.4375,-16.25,
13620,21.625,-52.875,-9.625,
13640,28.3125,-54.1875,-3.1875,
13660,34.8125,-51.875,6.375,
13680,36.5,-47.6875,15.875,
13700,28.875,-41.0625,25.75,
13720,23.6875,-42.8125,36.5625,
13740,20.875,-41,43.1875,
13760,13.0625,-37.875,52.375,
13780,17.3125,-32.125,58.3125,
13800,11.25,-28.625,65.5,
13820,-1.625,-23.25,70.8125,
13840,-3.25,-21.875,74.125,
13860,-8.0625,-16.3125,75.25,
13880,-5.6875,-5.5625,78.875,
13900,-3.5,8.5625,81.9375,
13920,-1.9375,15.3125,83.5625,
13940,-3.0625,19.375,77.25,
13960,-1.25,21.875,71.125,
13980,2.125,24.5,64.8125,
14000,1.4375,25.5625,59.625,
14020,-4.4375,31.875,50.4375,
14040,-5.4375,36.875,44.875,
14060,-8.3125,39.125,40.125,
14080,-13.75,42.5625,30.5625,
14100,-20.125,45.1875,25.0625,
14120,-19.25,43.5625,19.6875,
14140,-27.3125,39.5625,13.5,
14160,-37.375,39.0625,4.4375,
14180,-39,39.875,-1.0625,
14200,-30.4375,40.3125,-3.1875,
14220,-30.875,41,-6.8125,
14240,-34.3125,40.8125,-10.5,
14260,-30.625,43.875,-15.6875,
14280,-25.75,44.8125,-18,
14300,-27.3125,45.75,-23.125,
14320,-25.375,45.5,-27.375,
14340,-16.5,45.125,-30.4375,
14360,-19.5625,42.3125,-36.1875,
14380,-19.75,38.875,-42.4375,
14400,-7.5,35.75,-47,
14420,-9.3125,34.3125,-51.8125,
14440,-10.75,30.3125,-56.8125,
14460,-0.875,25.625,-59.0625,
14480,1.3125,20.75,-62.625,
14500,-7,15.5,-64.875,
14520,0.5625,8.1875,-63,
14540,3.875,-1.125,-63.875,
14560,10.125,-8.5625,-67.375,
14580,20.75,-12,-66.3125,
14600,21,-19.1875,-64.375,
14620,18.9375,-26.3125,-61.125,
14640,28.75,-31.6875,-59.125,
14660,40.5,-31.75,-56.125,
14680,43.5625,-36.9375,-49.75,
14700,46.6875,-41.875,-43.875,
14720,49.5625,-47.5625,-37.625,
14740,49.5,-46.5625,-30.0625,
14760,54.5625,-50.25,-19.8125,
14780,57.125,-52,-12,
14800,53.1875,-48.9375,-3,
14820,47,-47.25,7.375,
14840,40.75,-45.75,16.1875,
14860,32.8125,-43.875,24.5,
14880,33.9375,-41,32.75,
14900,32.625,-39.875,43.1875,
14920,21.625,-35.625,51.5625,
14940,16.3125,-33.4375,58.0625,
