Timestamp, Angle x, Angle y, Angle z, Marker
14110,0.206019,0.0697093,-1.10127,0
14130,0.160018,0.138868,-1.06735,0
14150,0.141803,0.204102,-1.02811,0
14170,0.132916,0.265013,-0.984211,0
14190,0.122474,0.310348,-0.953507,0
14210,0.128309,0.330858,-0.943102,0
14230,0.134955,0.331652,-0.921018,0
14250,0.146296,0.335786,-0.892163,0
14270,0.167401,0.346007,-0.879236,0
14290,0.187488,0.363988,-0.875933,0
14310,0.200981,0.383005,-0.871987,0
14330,0.208633,0.394888,-0.872663,0
14350,0.205188,0.384316,-0.88391,0
14370,0.199893,0.354722,-0.909603,0
14390,0.189089,0.300362,-0.965177,0
14410,0.192297,0.222331,-1.00206,0
14430,0.196342,0.132001,-1.04215,0
14450,0.208154,0.0580972,-1.06972,0
14470,0.235413,0.0217577,-1.08994,0
14490,0.25395,0.0378277,-1.12896,0
14510,0.264388,0.052481,-1.17024,0
14530,0.289616,0.0365253,-1.21481,0
14550,0.28175,0.00839126,-1.26602,0
14570,0.271102,0.000437528,-1.3307,0
14590,0.286403,0.00186579,-1.39477,0
14610,0.307883,0.0113239,-1.43637,0
14630,0.323663,0.016893,-1.46142,0
14650,0.347677,0.0302368,-1.45667,0
14670,0.369196,0.048329,-1.46094,0
14690,0.361884,0.0663075,-1.44988,0
14710,0.341148,0.0675625,-1.42627,0
14730,0.322571,0.0710525,-1.39209,0
14750,0.282126,0.0969334,-1.36039,0
14770,0.268748,0.108924,-1.27573,0
14790,0.263274,0.120895,-1.18271,0
14810,0.260257,0.159215,-1.0957,0
14830,0.314474,0.21634,-0.976821,0
14850,0.373129,0.31344,-0.813642,0
14870,0.469441,0.428871,-0.672309,0
14890,0.559258,0.490853,-0.624749,0
14910,0.634098,0.469331,-0.591374,0
14930,0.725794,0.379573,-0.592299,0
14950,0.8027,0.301058,-0.648418,0
14970,0.882815,0.23947,-0.68444,0
14990,0.969986,0.19467,-0.697021,0
15010,1.05952,0.188507,-0.718522,0
15030,1.1171,0.200381,-0.741304,0
15050,1.1503,0.193187,-0.745855,0
15070,1.14987,0.166198,-0.746811,0
15090,1.14339,0.168239,-0.749535,0
15110,1.13307,0.18805,-0.737353,0
15130,1.114,0.216668,-0.709076,0
15150,1.06508,0.246722,-0.69209,0
15170,1.00005,0.264797,-0.711362,0
15190,0.936418,0.260916,-0.745957,0
15210,0.862881,0.252148,-0.793682,0
15230,0.783957,0.251762,-0.868223,0
15250,0.705212,0.230698,-0.957034,0
15260,0.646878,0.189487,-1.02265,0
15260,0.596289,0.159718,-1.06117,0
15280,0.564134,0.144481,-1.09192,0
15310,0.528448,0.139803,-1.12173,0
15350,0.502371,0.131872,-1.14789,0
15370,0.484035,0.126182,-1.17742,0
15390,0.473491,0.110783,-1.21049,0
15410,0.467045,0.0926404,-1.23778,0
15430,0.460956,0.0687865,-1.25615,0
15450,0.464543,0.0479744,-1.27333,0
15470,0.466142,0.0385802,-1.28823,0
15490,0.46512,0.0174524,-1.30375,0
15510,0.461024,-0.00454764,-1.3148,0
15530,0.454579,-0.0237296,-1.32354,0
15550,0.450557,-0.0502979,-1.33176,0
15570,0.44317,-0.0730276,-1.34161,0
15590,0.427243,-0.100622,-1.34864,0
15610,0.41388,-0.12848,-1.35722,0
15630,0.405066,-0.146038,-1.36306,0
15650,0.390638,-0.141528,-1.36331,0
