Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8, Marker
2485,-3,4,0,-2,-2,-4,0,-1,0
2490,-8,1,-5,-4,-4,-4,2,-2,0
2495,1,5,0,-3,1,-5,-2,1,0
2500,-2,1,2,1,0,-2,-1,-2,0
2505,-4,0,-6,-2,-2,-2,-6,-1,0
2510,-1,-1,-3,-4,-5,1,-1,0,0
2515,-5,-2,-1,-2,1,-2,1,3,0
2520,1,4,-5,-2,-5,-7,-6,2,0
2525,0,-1,4,-2,-3,-4,1,1,0
2530,0,-4,-2,2,-1,1,1,1,0
2535,-2,-4,1,-2,-5,0,-2,-7,0
2540,-2,0,-4,4,0,-2,-6,1,0
2545,3,1,0,-2,-5,-2,-5,-6,0
2550,1,-3,-4,2,5,-3,-2,-4,0
2555,1,-10,-3,0,-1,-2,-2,-4,0
2560,3,1,-1,-1,-2,2,1,-1,0
2565,-2,-5,-4,1,5,7,-2,5,0
2570,1,-3,2,-2,4,-3,-3,-6,0
2575,0,0,1,1,3,-2,0,6,0
2580,-2,-6,-2,0,0,-3,-3,2,0
2585,-1,5,4,3,1,-5,-2,-1,0
2590,0,-2,-3,-3,-6,1,4,-4,0
2595,-10,-4,-3,0,3,2,-7,-4,0
2600,-2,-9,2,-3,3,-2,-1,4,0
2605,-3,2,4,3,-4,-1,-1,2,0
2610,0,-3,6,-3,3,0,-3,0,0
2615,1,0,8,-1,-3,1,1,-1,0
2620,-1,-5,0,-3,-5,-3,1,1,0
2625,0,0,4,-2,-2,-2,6,1,0
2630,-1,-1,-3,1,-6,3,-1,2,0
2635,1,0,-3,1,1,-4,-1,2,0
2640,-3,-1,-3,-1,-4,-4,-1,0,0
2645,-1,2,2,1,1,-3,3,2,0
2650,-4,3,-3,3,4,2,1,1,0
2655,-1,-4,-2,-1,0,2,3,1,0
2660,-3,-1,-5,-3,4,-1,-2,0,0
2665,1,-4,-5,-6,-10,-1,-1,-2,0
2670,0,2,-3,-6,-3,-1,1,-6,0
2675,-1,-1,-2,-1,-3,0,-4,-5,0
2680,-1,-3,-2,1,-4,-1,2,-6,0
2685,3,4,-1,1,0,1,-1,-2,0
2690,-2,-1,-1,-1,-1,1,-5,3,0
2695,1,-3,-8,0,3,1,-3,-1,0
2700,0,2,-1,1,5,-1,0,0,0
2705,3,-3,-3,-2,3,-1,1,-6,0
2710,-2,4,0,-5,-4,-6,-4,-5,0
2715,-4,-5,0,-5,-10,-3,-2,-1,0
2720,0,-4,1,-4,-6,1,-2,3,0
2725,-4,0,0,-7,2,-4,2,-4,0
2730,1,0,4,1,-2,0,0,0,0
2735,-2,2,1,0,-3,1,1,-1,0
