Timestamp, Rotation x, Rotation y, Rotation z
12470,-4.6875,75.875,25.75,
12490,-4.125,75.9375,8.875,
12510,-0.125,71.375,-5.4375,
12530,12.25,74.625,-22,
12550,21.125,76.8125,-33.375,
12570,20.25,71.4375,-37.25,
12590,31.25,67.3125,-44,
12610,34.4375,61.375,-53.4375,
12630,29,55.625,-59.5625,
12650,28.3125,38.4375,-61,
12670,15.3125,17.875,-62.625,
12690,10.125,8.5,-66.75,
12710,11.75,-5.875,-69.3125,
12730,7.4375,-19.875,-70.0625,
12750,-2.9375,-33.5,-69.6875,
12770,-0.75,-47.625,-66.1875,
12790,6.125,-59.0625,-63.8125,
12810,5.125,-66.625,-59.5,
12830,6.875,-73.0625,-52.8125,
12850,7.875,-76.875,-42.875,
12870,11.5625,-79,-31.5625,
12890,15.125,-78.875,-20.9375,
12910,14.3125,-76.875,-7.125,
12930,10.0625,-72.875,6.0625,
12950,9.9375,-69.5625,18.8125,
12970,5.5625,-63.5625,32.0625,
12990,-2.1875,-57.5625,46.625,
13010,-13.1875,-50.3125,57.4375,
13030,-21.125,-42.625,65.4375,
13050,-19.625,-36.125,74.25,
13070,-19.1875,-30.4375,80.25,
13090,-22.6875,-19.4375,83.75,
13110,-24.5,-5.875,83.1875,
13130,-18.6875,8.5,84.25,
13150,-7.75,20.5625,87.9375,
13170,5.9375,33.875,83.9375,
13190,10.75,44.375,74.6875,
13210,9.6875,52.125,63.3125,
13230,16.875,57.4375,58.875,
13250,26.625,63.5625,54.8125,
13270,21.6875,72,47.25,
13290,-3.8125,77.375,35.6875,
13310,-6.75,77.75,21.8125,
13330,15.3125,76.375,8.5,
13350,25.625,70.3125,-7.8125,
13370,14.25,59.0625,-26.9375,
13390,-8.625,50.125,-42.875,
13410,-8.125,43.5,-56.5,
13430,7,39.5,-65,
13450,21.8125,36.125,-68.9375,
13470,33.75,30.0625,-70.6875,
13490,33.5625,20.375,-70.5625,
13510,25.4375,13.5625,-73.8125,
13530,23.4375,5.4375,-75.1875,
13550,26.1875,-4.125,-73.0625,
13570,27.1875,-19.0625,-70.1875,
13590,22.8125,-28.6875,-69.375,
13610,22.25,-38,-66.125,
13630,17.25,-47.75,-59.0625,
13650,9.9375,-56.3125,-53.6875,
13670,8.875,-61.5,-47.875,
13690,15.0625,-66.8125,-40.25,
13710,15.625,-69.5625,-30.875,
13730,14.9375,-70.75,-22.625,
13750,12.125,-69.25,-12.3125,
13770,11.125,-67.4375,0.125,
13790,9.8125,-64.3125,10.375,
13810,6.5,-57.5,19.625,
13830,6.125,-50.75,31.75,
13850,6.9375,-42.0625,44.6875,
13870,-2.875,-34.8125,59.375,
13890,-15.125,-30.625,70.4375,
13910,-20.9375,-25.4375,78.25,
13930,-27.625,-14.1875,82.875,
13950,-29.4375,-2.6875,85.625,
13970,-26.1875,7.5,86.8125,
13990,-11.25,18.0625,86.125,
14010,2.4375,34.75,80.875,
14030,9.5,50.3125,70.75,
14050,24.125,64.4375,60.5,
14070,51.125,74.875,50.9375,
14090,64.25,80.75,37.9375,
14110,46.75,78.0625,19.875,
14130,23.8125,73.9375,4.8125,
14150,24.5625,67.1875,-10.3125,
14170,18.9375,63.5625,-27.0625,
14190,0.625,57.3125,-42.5625,
14210,7.25,51.5,-55.8125,
14230,31.875,41.5,-59.875,
14250,34.1875,27.625,-64.9375,
14270,13.625,14.875,-71.0625,
14290,2.75,6.4375,-78.3125,
14310,12.5625,-1.625,-82,
14330,21.1875,-16.375,-77.6875,
14340,16.25,-30.25,-77.5,
14360,1.8125,-37.375,-79.375,
14380,-7.75,-45.6875,-77.3125,
14400,-5.875,-52.4375,-74.6875,
14420,3.5625,-56.625,-67.75,
14440,14.6875,-61.1875,-57.875,
14460,17.4375,-64.3125,-49.6875,
14480,14,-66.0625,-41.3125,
14500,7.5625,-65.5,-32.75,
14520,4,-63.4375,-22.25,
14540,4.4375,-60.9375,-10.875,
14560,4.25,-56.875,0,
14580,-2.375,-53.0625,12.5,
14600,-7.6875,-48.0625,26.625,
14620,-10.8125,-43.25,43.9375,
14640,-17,-36.375,60,
14660,-32,-29.125,72.5,
14680,-47.125,-21.9375,81.125,
14700,-51,-13.25,90.6875,
14720,-49.9375,-0.9375,99.75,
14740,-40.8125,10,109.063,
14760,-18.625,23.5625,118.25,
14780,22,49.75,119.813,
14800,38.25,69.6875,109.438,
14820,14.3125,73.3125,92.6875,
14840,6.8125,69.6875,72.4375,
14860,25.8125,67.875,57.375,
14880,38.9375,61.25,41.75,
14900,30.8125,56.9375,26.125,
14920,7.1875,55.4375,6.4375,
14940,0,53.875,-10.6875,
14960,17.375,48.3125,-23.75,
14980,37.5,44.5,-36.5625,
15000,40.875,42,-48.125,
15020,43.75,39.25,-57.8125,
