Timestamp, Rotation x, Rotation y, Rotation z, Marker
7940,191.938,67.6875,-200.438,0
7960,173.125,75.25,6.0625,0
7980,97.0625,91.6875,37.6875,0
8000,83.5,-36.9375,34.25,0
8020,21.625,-75.375,49.0625,0
8040,-126.562,-86.125,14.25,0
8060,-120.312,-169.75,38.25,0
8080,-13.5625,-124.438,9.625,0
8100,-23.75,-104.875,16.875,0
8120,0.25,-89.625,-12.125,0
8140,-10.5625,-70,-7.4375,0
8160,2.5625,-43.1875,33.625,0
8180,-1.5625,-3.5,27.1875,0
8200,-30.5,52,39.625,0
8220,-35.6875,14.0625,32.4375,0
8240,-36.1875,-54.625,30.5,0
8260,-31.0625,-76.6875,42.5625,0
8280,-28.6875,-61.6875,34.8125,0
8300,-22.5625,-41.1875,17.0625,0
8320,-18.5625,-3.375,0.375,0
8340,-13.9375,23.6875,-36.5,0
8360,14.3125,31.75,-12.9375,0
8380,9.6875,0.3125,26.875,0
8400,-7.25,-19.8125,33.5,0
8420,-2.5,-43.4375,28.1875,0
8440,-3,-52.25,14.6875,0
8460,-6.0625,-27.3125,3,0
8480,4.3125,-18.0625,-4.125,0
8500,9.3125,-6.6875,-12,0
8520,16.375,-6.0625,-8.75,0
8540,15.75,-10.1875,1.75,0
8560,6.75,-10.6875,4.875,0
8580,-0.125,-23.6875,24,0
8600,-13.5625,-46.5625,43.8125,0
8620,-29.1875,-68.875,58.125,0
8640,-42.0625,-44.1875,44.5625,0
8660,-51.6875,-23.625,29.5625,0
8670,-54.6875,-30.5,18.0625,0
8690,-39.9375,-47.875,-2.125,0
8710,-36,-74.375,12.0625,0
8730,-27,-75.125,17.25,0
8750,-27,-59.1875,14.625,0
8770,-25.625,-58.9375,46.6875,0
8790,-50,-79,92.125,0
8810,-55.625,-37.1875,74.5625,0
8830,-64.6875,-108.188,99.3125,0
8850,-56.75,-101.875,90.9375,0
8870,-72.25,-97.375,60.125,0
8890,-43.5625,-39.3125,18.125,0
8910,3.9375,3.25,-12.75,0
8930,39.8125,14.8125,-38,0
8950,47.125,22.5625,-49.375,0
8970,55.9375,0.1875,-34.75,0
8990,57.25,-8.8125,-18.875,0
9010,26.5,-10.4375,6.0625,0
9030,-1,-16.75,12.6875,0
9050,4.4375,-12.1875,3.5625,0
9070,3.6875,-3.4375,-7.4375,0
9090,-11.6875,-3.4375,-16.3125,0
9110,-8.75,-10.3125,-10.125,0
9130,3.4375,-6.25,0.6875,0
9150,6.375,2.3125,5,0
9170,-1,19.0625,-6.375,0
9190,-4.125,22.5,-19.125,0
9210,-4.3125,3.4375,-14.0625,0
9230,-13.9375,-11.875,1.8125,0
9250,-11.8125,-17.75,20.25,0
9270,0.1875,-16.125,14.875,0
9290,1.75,-0.125,-6.625,0
9310,4.25,6.625,-14.6875,0
9330,9.875,6.5625,-11.6875,0
9350,5.875,-4.8125,-0.5,0
9370,5.125,-11.5625,4.5625,0
9390,2.875,-11.9375,1.125,0
9410,3.5625,1.8125,-3,0
9430,4.5625,5.375,-4.3125,0
9450,5.5,-0.5,-6.625,0
9470,7.3125,-10.5625,2.4375,0
9490,0.3125,-8.875,8.8125,0
9510,-6.5,-7,11.125,0
9530,-14.25,-3.4375,2,0
9550,-13.75,2.75,-5.3125,0
9570,-8,9.8125,-8.9375,0
9590,3.875,13.25,-10.4375,0
9610,10.0625,6.625,-10,0
9630,13.75,-3.5625,-2.375,0
9650,7.5,-6.25,3.9375,0
9670,3.25,-8.8125,6.1875,0
9690,-2.9375,-7,-1.3125,0
9710,-3.5625,-4.4375,-1.5625,0
9730,-2.0625,-1.8125,-0.625,0
9750,-2.3125,-5.25,1.4375,0
9770,-3,-1.3125,1.25,0
9790,-4.0625,3.5625,-3.1875,0
9810,-3.8125,7.3125,-10.6875,0
9830,6.875,0.3125,-5.5625,0
9850,10.6875,-1.6875,-0.5,0
9870,15.3125,-6.5625,7.3125,0
9890,14.125,-11.875,9.5,0
9910,3.25,-9,9.75,0
