Timestamp, Angle x, Angle y, Angle z
12710,-0.686374,0.160029,0.119082,
12730,-0.678509,0.143588,0.105497,
12750,-0.674362,0.123709,0.0945585,
12770,-0.669018,0.100934,0.0874946,
12790,-0.660805,0.0748055,0.0832487,
12810,-0.652878,0.0478295,0.0814311,
12830,-0.645056,0.0203091,0.0823109,
12850,-0.637844,-0.00669742,0.086439,
12870,-0.629998,-0.0320172,0.0937918,
12890,-0.621812,-0.0554489,0.103912,
12910,-0.614867,-0.0761835,0.117276,
12930,-0.610645,-0.0933925,0.133532,
12950,-0.6081,-0.106959,0.152798,
12970,-0.608306,-0.116895,0.174719,
12990,-0.612064,-0.12238,0.199819,
13010,-0.620401,-0.12417,0.226574,
13030,-0.633967,-0.121897,0.254315,
13050,-0.647509,-0.115237,0.283294,
13070,-0.661279,-0.105947,0.312518,
13090,-0.675373,-0.0938062,0.340188,
13110,-0.690429,-0.07823,0.364511,
