Timestamp, Rotation x, Rotation y, Rotation z
14040,56.6875,-41.0625,-50.875
14060,41.25,-59.6875,-60.25
14080,38.6875,-52.625,-48
14100,17.6875,-34.875,-35.9375
14110,-0.125,-22.5,-25.5625
14130,-9.375,-26.875,-19.6875
14150,-15.125,-34.9375,-12.25
14170,-32,-29.0625,-7.75
14190,-48.75,-17.5,-9.1875
14210,-39.375,-5.5625,-14.5
14230,-26.1875,1.4375,-24.1875
14250,-19.25,6.875,-29.5
14270,-16.6875,13.1875,-28.3125
14290,-8.4375,18.25,-17.125
14310,3.125,17.75,-7.1875
14330,8.4375,15.5,1.5
14350,-0.875,16.4375,4.1875
14370,-10,19.75,4.5
14390,-12.5,22.6875,3.6875
14410,-16.375,22.375,5.0625
14430,-20.625,19.5625,10.625
14450,-19.8125,15.4375,16.75
14470,-13.875,11.625,20.0625
14490,-11.0625,8.0625,19.9375
14510,-9.9375,7.3125,15.5625
14530,-1.3125,7.125,12.625
14550,7.875,9.125,8.375
14570,11.8125,7.9375,3.375
14590,7.9375,8.25,3
14610,13,9.75,4.875
14630,19.5625,6.6875,10.3125
14650,8.1875,5.625,12.375
14670,1.3125,4.3125,16.5625
14690,4.125,5.3125,14.75
14710,4.625,4.3125,12.1875
14730,-0.9375,6.1875,10.6875
14750,4.5,5.9375,11.5
14770,8.9375,6,9.0625
14790,4.5,6,5.375
14810,1.1875,5.6875,6.5625
14830,4.375,6.8125,3.75
14850,6.5625,6.3125,4.75
14870,0.75,7.8125,3.1875
14890,0.75,9.0625,3.5
14910,-3.875,8.375,3.5
14930,-5.625,7.0625,5.6875
14950,-3,5.625,6.3125
14970,0.75,7,7
14990,3.3125,7.1875,6.25
15010,6.3125,7.5,3.625
15030,6.5,7.5,4.125
15050,-0.125,6.75,8.125
15070,-0.75,4.75,13.9375
15090,-7.25,3,12.0625
15110,-4.4375,2.375,7.9375
15130,-7.375,4.0625,4.125
15150,-3.5625,4.375,2.4375
15170,2.5,3.375,-1.4375
15190,2.6875,2.9375,-3
15210,0.8125,1.8125,0.9375
15230,-0.75,1.3125,5.9375
15250,-0.25,-1.125,6.3125
15270,2.25,-1.875,5.3125
15290,1.6875,-0.25,0.375
15310,8.5,1.4375,-3.4375
15330,4.625,3.125,-6.3125
15350,3,2.375,-3.8125
15370,-2.0625,1.625,1.5
15390,-2.75,1.3125,7.0625
15410,-2.8125,0.0625,5.75
15430,-1.25,1.1875,3.1875
15450,-0.5625,1.5,2
15470,-2.125,1.9375,0.0625
15490,2,0.3125,0.625
15510,-2.4375,-0.25,0.8125
15530,1.125,-0.3125,2.875
15550,2.6875,-0.5,-0.625
15570,9.8125,0.5,-2.9375
15590,4.125,2,-5.9375
15610,0.5,2.0625,-3.5625
15630,-5.4375,0.4375,-1.875
15650,-4.625,-0.8125,1.375
15670,-4.6875,-0.5625,1.4375
15690,-2.875,0.5625,2.25
15710,-0.3125,0.9375,2
15730,6.5625,1.8125,3.125
15750,2.4375,0.8125,1.3125
15770,-1.5625,1.875,-0.5625
