Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8
2465,19,16,4,42,27,10,19,8,
2470,-3,12,31,-34,-43,-12,1,11,
2475,-8,-10,-2,-3,-27,10,3,-16,
2480,37,9,17,-13,-19,-29,-42,-5,
2485,-24,-28,-41,2,25,11,18,-4,
2490,-8,-5,-12,-31,21,16,-1,-15,
2495,20,38,-31,63,0,10,-5,-10,
2500,-50,-27,-15,-42,-43,-37,-40,8,
2505,30,17,20,-23,-5,-1,8,21,
2510,7,-5,-2,53,18,8,12,0,
2515,-21,-20,-29,4,46,13,15,1,
2520,-14,-41,37,-101,-68,-10,0,-34,
2525,22,52,-23,96,-7,-15,-17,-13,
2530,-13,-12,-4,-34,-14,-14,0,1,
2535,13,0,-15,24,8,-8,-15,-1,
2540,-1,26,9,-32,35,23,40,-3,
2545,-30,-20,-8,-10,-43,-2,-11,49,
2550,24,8,11,18,16,17,-10,-20,
2555,-4,15,-32,-70,-11,-8,9,-5,
2560,-17,-18,-12,71,4,-11,-30,-22,
2565,-32,-20,0,-34,-19,-31,2,-11,
2570,28,28,-15,-11,18,24,31,20,
2575,-11,3,26,16,13,25,9,14,
2580,14,-3,9,-4,-4,-22,2,2,
2585,-27,11,23,-49,-28,-6,1,-19,
2590,-18,-49,-49,0,-5,-16,-27,0,
2595,26,66,37,-5,-3,12,11,-27,
2600,1,9,21,112,38,34,44,32,
2605,-10,-31,4,3,19,-9,-24,-14,
2610,-26,-11,-21,-60,-49,6,-20,-28,
2615,28,-60,-5,-30,-15,-26,-12,14,
2620,-2,83,5,-6,-6,1,20,-16,
2625,-27,-40,-6,35,41,3,11,-12,
2630,9,8,11,20,36,19,11,9,
2635,-11,18,-25,47,-2,-13,-18,-16,
2640,-12,-31,1,-42,-86,-34,-41,15,
2645,41,-11,20,-45,-5,4,27,16,
2650,-12,15,-9,24,21,14,-14,-1,
2655,-13,-11,6,-16,-11,-18,-10,1,
2660,9,10,-12,26,51,38,33,-24,
2665,-27,-25,10,-48,9,-5,-14,14,
2670,20,-26,-21,-20,-90,-23,-7,28,
2675,18,29,10,-1,18,-8,5,3,
2680,-24,-5,5,-11,16,-4,-15,-10,
2685,-8,10,-2,18,0,13,10,-24,
2690,-20,-18,-10,-8,43,-13,3,-8,
